"","p_d_node","p_state","d_state","change","p_pp","d_pp","dpp>ppp"
"1577","1888_1889",0,0,0,0.916,0.904,0
"1578","1889_783",0,0,0,0.904,1,1
"1579","1889_784",0,0,0,0.904,1,1
"1580","1887_1890",0,0,0,0.952,0.934,0
"1581","1890_785",0,0,0,0.934,1,1
"1582","1890_1891",0,0,0,0.934,0.968,1
"1583","1891_1892",0,0,0,0.968,0.958,0
"1584","1892_786",0,0,0,0.958,1,1
"1585","1892_787",0,0,0,0.958,1,1
"1586","1891_788",0,0,0,0.968,1,1
"1587","1886_1893",0,0,0,0.924,0.928,1
"1588","1893_1894",0,0,0,0.928,0.944,1
"1589","1894_789",0,0,0,0.944,1,1
"1590","1894_790",0,0,0,0.944,1,1
"1591","1893_791",0,0,0,0.928,1,1
"1592","1882_792",0,0,0,0.922,1,1
"1593","1881_793",0,0,0,0.8,1,1
"1594","1880_794",0,1,1,0.576,1,1
"1595","1804_1895",0,0,0,0.922,0.944,1
"1596","1895_795",0,0,0,0.944,1,1
"1597","1895_1896",0,0,0,0.944,0.932,0
"1598","1896_796",0,0,0,0.932,1,1
"1599","1896_1897",0,0,0,0.932,0.99,1
"1600","1897_797",0,0,0,0.99,1,1
"1601","1897_1898",0,0,0,0.99,0.996,1
"1602","1898_798",0,0,0,0.996,1,1
"1603","1898_799",0,0,0,0.996,1,1
"1604","1790_1899",0,0,0,0.942,0.932,0
"1605","1899_800",0,0,0,0.932,1,1
"1606","1899_1900",0,0,0,0.932,0.938,1
"1607","1900_1901",0,0,0,0.938,0.94,1
"1608","1901_801",0,0,0,0.94,1,1
"1609","1901_1902",0,0,0,0.94,0.944,1
"1610","1902_1903",0,0,0,0.944,0.96,1
"1611","1903_802",0,0,0,0.96,1,1
"1612","1903_803",0,0,0,0.96,1,1
"1613","1902_804",0,0,0,0.944,1,1
"1614","1900_1904",0,0,0,0.938,0.946,1
"1615","1904_805",0,0,0,0.946,1,1
"1616","1904_1905",0,0,0,0.946,0.99,1
"1617","1905_806",0,0,0,0.99,1,1
"1618","1905_807",0,0,0,0.99,1,1
"1619","1788_1906",0,0,0,0.948,0.934,0
"1620","1906_1907",0,0,0,0.934,0.93,0
"1621","1907_1908",0,0,0,0.93,0.926,0
"1622","1908_1909",0,0,0,0.926,0.972,1
"1623","1909_808",0,0,0,0.972,1,1
"1624","1909_1910",0,0,0,0.972,0.996,1
"1625","1910_1911",0,0,0,0.996,0.996,0
"1626","1911_1912",0,0,0,0.996,1,1
"1627","1912_809",0,0,0,1,1,0
"1628","1912_810",0,0,0,1,1,0
"1629","1911_811",0,0,0,0.996,1,1
"1630","1910_1913",0,0,0,0.996,1,1
"1631","1913_812",0,0,0,1,1,0
"1632","1913_813",0,0,0,1,1,0
"1633","1908_1914",0,0,0,0.926,0.922,0
"1634","1914_1915",0,0,0,0.922,0.99,1
"1635","1915_814",0,0,0,0.99,1,1
"1636","1915_815",0,0,0,0.99,1,1
"1637","1914_816",0,0,0,0.922,1,1
"1638","1907_1916",0,0,0,0.93,0.914,0
"1639","1916_817",0,0,0,0.914,1,1
"1640","1916_818",0,0,0,0.914,1,1
"1641","1906_1917",0,0,0,0.934,0.934,0
"1642","1917_1918",0,0,0,0.934,0.914,0
"1643","1918_1919",0,0,0,0.914,0.958,1
"1644","1919_819",0,0,0,0.958,1,1
"1645","1919_1920",0,0,0,0.958,0.962,1
"1646","1920_820",0,0,0,0.962,1,1
"1647","1920_821",0,0,0,0.962,1,1
"1648","1918_1921",0,0,0,0.914,0.936,1
"1649","1921_1922",0,0,0,0.936,0.922,0
"1650","1922_822",0,0,0,0.922,1,1
"1651","1922_1923",0,1,1,0.922,0.752,0
"1652","1923_823",1,1,0,0.752,1,1
"1653","1923_824",1,1,0,0.752,1,1
"1654","1921_1924",0,0,0,0.936,0.922,0
"1655","1924_1925",0,0,0,0.922,0.924,1
"1656","1925_825",0,0,0,0.924,1,1
