"","p_d_node","p_state","d_state","change","p_pp","d_pp","dpp>ppp"
"2078","2133_1039",0,0,0,0.538,1,1
"2079","2133_2134",0,0,0,0.538,0.518,0
"2080","2134_1040",0,1,1,0.518,1,1
"2081","2134_2135",0,0,0,0.518,0.836,1
"2082","2135_2136",0,0,0,0.836,0.91,1
"2083","2136_2137",0,0,0,0.91,0.938,1
"2084","2137_1041",0,0,0,0.938,1,1
"2085","2137_2138",0,0,0,0.938,0.996,1
"2086","2138_1042",0,0,0,0.996,1,1
"2087","2138_2139",0,0,0,0.996,0.994,0
"2088","2139_2140",0,0,0,0.994,0.998,1
"2089","2140_1043",0,0,0,0.998,1,1
"2090","2140_1044",0,1,1,0.998,1,1
"2091","2139_1045",0,0,0,0.994,1,1
"2092","2136_2141",0,0,0,0.91,0.952,1
"2093","2141_2142",0,0,0,0.952,0.992,1
"2094","2142_2143",0,0,0,0.992,1,1
"2095","2143_2144",0,0,0,1,0.998,0
"2096","2144_1046",0,0,0,0.998,1,1
"2097","2144_1047",0,0,0,0.998,1,1
"2098","2143_2145",0,0,0,1,0.998,0
"2099","2145_1048",0,0,0,0.998,1,1
"2100","2145_1049",0,0,0,0.998,1,1
"2101","2142_2146",0,0,0,0.992,0.99,0
"2102","2146_1050",0,0,0,0.99,1,1
"2103","2146_1051",0,0,0,0.99,1,1
"2104","2141_2147",0,0,0,0.952,0.988,1
"2105","2147_1052",0,0,0,0.988,1,1
"2106","2147_2148",0,0,0,0.988,1,1
"2107","2148_1053",0,0,0,1,1,0
"2108","2148_1054",0,0,0,1,1,0
"2109","2135_2149",0,0,0,0.836,0.898,1
"2110","2149_2150",0,0,0,0.898,0.904,1
"2111","2150_2151",0,0,0,0.904,0.998,1
"2112","2151_1055",0,0,0,0.998,1,1
"2113","2151_2152",0,0,0,0.998,1,1
"2114","2152_1056",0,0,0,1,1,0
"2115","2152_1057",0,0,0,1,1,0
"2116","2150_2153",0,0,0,0.904,0.844,0
"2117","2153_2154",0,0,0,0.844,0.81,0
"2118","2154_1058",0,1,1,0.81,1,1
"2119","2154_2155",0,0,0,0.81,0.996,1
"2120","2155_1059",0,0,0,0.996,1,1
"2121","2155_1060",0,0,0,0.996,1,1
"2122","2153_2156",0,0,0,0.844,0.83,0
"2123","2156_2157",0,0,0,0.83,0.654,0
"2124","2157_2158",0,0,0,0.654,0.692,1
"2125","2158_1061",0,0,0,0.692,1,1
"2126","2158_2159",0,0,0,0.692,0.616,0
"2127","2159_1062",0,0,0,0.616,1,1
"2128","2159_1063",0,1,1,0.616,1,1
"2129","2157_2160",0,0,0,0.654,0.514,0
"2130","2160_1064",0,1,1,0.514,1,1
"2131","2160_2161",0,0,0,0.514,0.534,1
"2132","2161_2162",0,1,1,0.534,0.706,1
"2133","2162_1065",1,0,1,0.706,1,1
"2134","2162_1066",1,1,0,0.706,1,1
"2135","2161_1067",0,0,0,0.534,1,1
"2136","2156_1068",0,0,0,0.83,1,1
"2137","2149_2163",0,0,0,0.898,0.978,1
"2138","2163_1069",0,0,0,0.978,1,1
"2139","2163_1070",0,0,0,0.978,1,1
